State,District,State Type
Karnataka,Hassan,State
Karnataka,Haveri,State
Karnataka,Kodagu,State
Karnataka,Kolar,State
Karnataka,Koppal,State
Karnataka,Mandya,State
Karnataka,Mysore,State
Karnataka,Raichur,State
Karnataka,Ramanagara,State
Karnataka,Shimoga,State
Karnataka,Tumkur,State
Karnataka,Udupi,State
Karnataka,Uttara Kannada,State
Karnataka,Vijayanagara,State
Karnataka,Vijayapura ,State
Karnataka,Yadgir,State
Kerala,Alappuzha,State
Kerala,Ernakulam,State
Kerala,Idukki,State
Kerala,Kannur,State
Kerala,Kasaragod,State
Kerala,Kollam,State
Kerala,Kottayam,State
Kerala,Kozhikode,State
Kerala,Malappuram,State
Kerala,Palakkad,State
Kerala,Pathanamthitta,State
Kerala,Thiruvananthapuram,State
Kerala,Thrissur,State
Kerala,Wayanad,State
Ladakh,Kargil,Union Territory
Ladakh,Leh,Union Territory
Lakshadweep,Lakshadweep,Union Territory
Madhya Pradesh,Agar Malwa,State
Madhya Pradesh,Alirajpur,State
Madhya Pradesh,Anuppur,State
Madhya Pradesh,Ashoknagar,State
Madhya Pradesh,Balaghat,State
Madhya Pradesh,Barwani,State
Madhya Pradesh,Betul,State
Madhya Pradesh,Bhind,State
Madhya Pradesh,Bhopal,State
Madhya Pradesh,Burhanpur,State
Madhya Pradesh,Chachaura,State
Madhya Pradesh,Chhatarpur,State
Madhya Pradesh,Chhindwara,State
Madhya Pradesh,Damoh,State
Madhya Pradesh,Datia,State
Madhya Pradesh,Dewas,State
Madhya Pradesh,Dhar,State
Madhya Pradesh,Dindori,State
Madhya Pradesh,Guna,State
Madhya Pradesh,Gwalior,State
Madhya Pradesh,Harda,State
Madhya Pradesh,Hoshangabad,State
Madhya Pradesh,Indore,State
Madhya Pradesh,Jabalpur,State
Madhya Pradesh,Jhabua,State
Madhya Pradesh,Katni,State
Madhya Pradesh,Khandwa,State
Madhya Pradesh,Khargone,State
Madhya Pradesh,Maihar,State
Madhya Pradesh,Mandla,State
Madhya Pradesh,Mandsaur,State
Madhya Pradesh,Morena,State
Madhya Pradesh,Nagda,State
Madhya Pradesh,Narsinghpur,State
Madhya Pradesh,Neemuch,State
Madhya Pradesh,Niwari,State
Madhya Pradesh,Pandhurna,State
Madhya Pradesh,Panna,State
Madhya Pradesh,Raisen,State
Madhya Pradesh,Rajgarh,State
Madhya Pradesh,Ratlam,State
Madhya Pradesh,Rewa,State
Madhya Pradesh,Sagar,State
Madhya Pradesh,Satna,State
Madhya Pradesh,Sehore,State
Madhya Pradesh,Seoni,State
Madhya Pradesh,Shahdol,State
Madhya Pradesh,Shajapur,State
Madhya Pradesh,Sheopur,State
Madhya Pradesh,Shivpuri,State
Madhya Pradesh,Sidhi,State
Madhya Pradesh,Singrauli,State
Madhya Pradesh,Tikamgarh,State
Madhya Pradesh,Ujjain,State
Madhya Pradesh,Umaria,State
Madhya Pradesh,Vidisha,State
Maharashtra,Ahmednagar,State
Maharashtra,Akola,State
Maharashtra,Amravati,State
Maharashtra,Aurangabad,State
Maharashtra,Beed,State
Maharashtra,Bhandara,State
Maharashtra,Buldhana,State
Maharashtra,Chandrapur,State
Maharashtra,Dhule,State
Maharashtra,Gadchiroli,State
Maharashtra,Gondia,State
Maharashtra,Hingoli,State
Maharashtra,Jalgaon,State
Maharashtra,Jalna,State
Maharashtra,Kolhapur,State
Maharashtra,Latur,State
Maharashtra,Mumbai City,State
Maharashtra,Mumbai Suburban,State
Maharashtra,Nagpur,State
Maharashtra,Nanded,State
Maharashtra,Nandurbar,State
Maharashtra,Nashik,State
Maharashtra,Osmanabad,State
Maharashtra,Palghar,State
Maharashtra,Parbhani,State
Maharashtra,Pune,State
Maharashtra,Raigad,State
Maharashtra,Ratnagiri,State
Maharashtra,Sangli,State
Maharashtra,Satara,State
Maharashtra,Sindhudurg,State
Maharashtra,Solapur,State
Maharashtra,Thane,State
Maharashtra,Wardha,State
Maharashtra,Washim,State
Maharashtra,Yavatmal,State
Manipur,Bishnupur,State
Manipur,Chandel,State
Manipur,Churachandpur,State
Manipur,Imphal East,State
Manipur,Imphal West,State
Manipur,Jiribam,State
Manipur,Kakching,State
Manipur,Kamjong,State
Manipur,Kangpokpi,State
Manipur,Noney,State
Manipur,Pherzawl,State
Manipur,Senapati,State
Manipur,Tamenglong,State
Manipur,Tengnoupal,State
Manipur,Thoubal,State
Manipur,Ukhrul,State
Meghalaya,East Garo Hills,State
Meghalaya,East Jaintia Hills,State
Meghalaya,East Khasi Hills,State
Meghalaya,Mairang,State
Meghalaya,North Garo Hills,State
Meghalaya,Ri Bhoi,State
Meghalaya,South Garo Hills,State
Meghalaya,South West Garo Hills,State
Meghalaya,South West Khasi Hills,State
Meghalaya,West Garo Hills,State
Meghalaya,West Jaintia Hills,State
Meghalaya,West Khasi Hills,State
Mizoram,Aizawl,State
Mizoram,Champhai,State
Mizoram,Hnahthial,State
Mizoram,Kolasib,State
Mizoram,Khawzawl,State
Mizoram,Lawngtlai,State
